,restaurant,entree,price,description,cuisine
0,China Wok,1 Egg Roll,$2.65,Crispy dough filled with minced vegetables.,Chinese
1,China Wok,1 Spring Roll,$2.99,Rice paper or crispy dough filled with shredded vegetables. ,Chinese
2,China Wok,1 Shrimp Egg Roll,$2.99,Crispy dough filled with minced vegetables.,Chinese
3,China Wok,French Fries,$6.39,Fried potatoes.,Chinese
4,China Wok,10 Piece Sweet Biscuits,$6.39,Baked bread. ,Chinese
5,China Wok,10 Piece Fried Pork Wontons,$7.19,Chinese dumpling that comes with filling.,Chinese
6,China Wok,8 Piece Fried Crab Meat Rangoon,$8.29,Fried wonton wrapper filled with crab and cream cheese.,Chinese
7,China Wok,4 Piece Chicken Teriyaki,$9.99,Marinated or glazed in a soy based sauce. ,Chinese
8,China Wok,Veggie Croguettes,$6.39,,Chinese
9,China Wok,8 Piece Steamed Dumplings,$10.59,Filled dough. ,Chinese
10,China Wok,8 Piece Fried Chicken Wings,$11.69,Cooked wing of a chicken coated in sauce or seasoning.,Chinese
11,China Wok,8 Piece Fried Dumplings,$10.89,Filled dough. ,Chinese
12,China Wok,8 Piece Butterfly Shrimp,$9.99,Shrimp that has been cut symetrically. ,Chinese
13,China Wok,Boneless Spare Ribs,$14.69,A cut of meat from the bottom section of the ribs.,Chinese
14,China Wok,Pu Pu Platter,$17.99,Assortment of appetizers. ,Chinese
15,China Wok,Egg Drop Soup,$7.79,Soup that is made from beaten eggs and broth.,Chinese
16,China Wok,Wonton Soup,$7.99,Seasend broth with filled wonton dumplings.,Chinese
17,China Wok,Wonton Egg Drop Soup,$8.99,Egg soup with filled wonton dumplings.,Chinese
18,China Wok,Chicken Rice Soup,$8.99,Poultry. Savory soup with a grain base.,Chinese
19,China Wok,Chicken Noodle Soup,$8.99,"Soup that is made with chicken, broth, noodles, and vegetables. ",Chinese
20,China Wok,Hot and Sour Soup,$8.99,Spicy.,Chinese
21,China Wok,Vegetable Soup,$8.99,,Chinese
22,China Wok,Bean Curd with Vegetable Soup,$8.99,Soup made with tofu.,Chinese
23,China Wok,Chicken Sizzling Rice Soup,$8.99,,Chinese
24,China Wok,Seafood Sizzling Rice Soup,$10.69,,Chinese
25,China Wok,Vegetable Fried Rice,$10.99,Stir fried.,Chinese
26,China Wok,Roast Pork Fried Rice,$12.49,Mild sweet meat that has been roasted. Stir fried.,Chinese
27,China Wok,Chicken Fried Rice,$12.49,,Chinese
28,China Wok,Beef Fried Rice,$12.99,,Chinese
29,China Wok,Shrimp Fried Rice,$12.99,Stir fried.,Chinese
30,China Wok,House Special Fried Rice,$13.49,Stir fried.,Chinese
31,China Wok,Plain fried rice,$9.99,Stir fried.,Chinese
32,China Wok,H1. Sesame Chicken,$15.99,,Chinese
33,China Wok,H2. General Tso's Chicken,$15.99,Spicy.,Chinese
34,China Wok,H3. Orange Chicken,$15.99,Spicy.,Chinese
35,China Wok,H4. Honey Chicken,$15.99,,Chinese
36,China Wok,H5. Lemon Chicken,$15.99,,Chinese
37,China Wok,H6. Pineapple Chicken,$15.99,,Chinese
38,China Wok,2 Delicacies,$16.19,,Chinese
39,China Wok,H8. Triple Delight,$16.89,,Chinese
40,China Wok,H9. Four Seasons,$16.89,,Chinese
41,China Wok,H10. Happy Family,$16.89,Stir fried with a light brown sauce.,Chinese
42,China Wok,H11. Beef with Scallops,$16.89,,Chinese
43,China Wok,H12. Dragon and Phoenix,$16.89,Spicy.,Chinese
44,China Wok,H13. General Tso's Shrimp,$16.89,Spicy.,Chinese
45,China Wok,H14. Hot and Spicy Shrimp,$16.89,Spicy.,Chinese
46,China Wok,H15. Orange Shrimp,$16.89,,Chinese
47,China Wok,H16. Orange Beef,$17.39,Spicy.,Chinese
48,China Wok,H17. Shrimp and Scallops with Garlic Sauce,$16.99,Spicy.,Chinese
49,China Wok,H18. Shrimp and Scallops Hunan Style,$16.99,Spicy.,Chinese
50,China Wok,H19. Szechuan Tofu,$16.39,Spicy.,Chinese
51,China Wok,H20. Kung Pao Combination,$16.99,Spicy.,Chinese
52,China Wok,H21. Seafood Delight,$18.49,,Chinese
53,China Wok,Vegetable Lo Mein,$11.89,,Chinese
54,China Wok,Roasted Pork Lo Mein,$12.99,,Chinese
55,China Wok,Chicken Lo Mein,$12.99,,Chinese
56,China Wok,Beef Lo Mein,$13.49,,Chinese
57,China Wok,Shrimp Lo Mein,$13.49,,Chinese
58,China Wok,House Special Lo Mein,$13.99,,Chinese
59,China Wok,Sweet and Sour Chicken,$14.99,Sweetened sauce with vinegar base.,Chinese
