"","name","street","city"
"1","China Wok","1727 N Germantown Pkwy","Memphis, TN, 38016"
"2","American Deli","1250 Southland Mall","Memphis, TN, 38116"
"3","J. Alexander's","2670 N Germantown Pkwy","Memphis, TN, 38133"
"4","Rafferty's Restaurant & Bar","4542 Poplar Ave","Memphis, TN, 38117"
"5","Don Don's Hot Wings","3620 Austin Peay Hwy","Memphis, TN, 38128"
"6","Exline Pizza Austin Peay ","2935 Austin Peay Hwy","Memphis, TN, 38128"
"7","Rafferty's Restaurant & Bar","505 North Germantown Parkway","Memphis, TN, 38018"
"8","Huey's Restaurant","77 S 2nd St","Memphis, TN, 38103"
"9","Coletta's Restaurant","1063 S Parkway E","Memphis, TN, 38106"
"10","Milanos Pizza","6525 Memphis Arlington Road","Memphis, TN, 38135"
"11","Villa Castrioti","714 North Germantown Parkway","Memphis, TN, 38018"
"12","Back Yard Burgers","2931 Kirby Whitten Rd","Memphis, TN, 38134"
"13","O'Charley's","6045 Stage Rd Ste 74","Memphis, TN, 38134"
"14","Yum's Restaurant","1934 S 3rd St","Memphis, TN, 38109"
"15","The Half Shell","7825 Winchester Rd","Memphis, TN, 38125"
"16","Central BBQ","4375 Summer Ave","Memphis, TN, 38122"
"17","Elwood's Shack Llc","4523 Summer Avenue","Memphis, TN, 38122"
"18","Joe's Crab Shack","7990 Horizon Center Blvd","Memphis, TN, 38133"
"19","New Hong Kong","4594 Quince Rd","Memphis, TN, 38117"
"20","Brad's Bar-B-Q","2845 Bartlett Rd","Memphis, TN, 38134"
"21","Los Pilares","6249 Stage Rd","Memphis, TN, 38134"
"22","Amerigo","1239 Ridgeway Rd","Memphis, TN, 38119"
"23","Carrabba's Italian Grill","5110 Poplar Ave","Memphis, TN, 38117"
"24","El Patron","5811 Stage Rd","Memphis, TN, 38134"
"25","Westy's","346 N Main St","Memphis, TN, 38103"
"26","Hooters","250 Peabody Pl Ste 101","Memphis, TN, 38103"
"27","Panera Bread","714 N Germantown Pkwy","Memphis, TN, 38018"
"28","Shoneys Restaurant","5829 Summer Avenue","Memphis, TN, 38134"
"29","P.F. Chang's","1181 Ridgeway Rd","Memphis, TN, 38119"
"30","Yum's Restaurant","2265 Park Avenue","Memphis, TN, 38114"
"31","IHOP","2060 Union Ave","Memphis, TN, 38104"
"32","Houston's","5000 Poplar Ave","Memphis, TN, 38117"
"33","KFC","4306 Summer Ave","Memphis, TN, 38122"
"34","Mortimer's","590 N Perkins Rd","Memphis, TN, 38122"
"35","Yum's Restaurant","3283 Austin Peay Hwy","Memphis, TN, 38128"
"36","Garibaldi's Pizza","3530 Walker Ave","Memphis, TN, 38111"
"37","Old Venice Pizza Company","368 Perkins Extd","Memphis, TN, 38117"
"38","Pho Saigon Restaurant","2946 Poplar Ave","Memphis, TN, 38111"
"39","Red Lobster","8161 Highway 64","Memphis, TN, 38133"
"40","Paradise Cafe","6150 Poplar Avenue","Memphis, TN, 38119"
"41","A&R Barbeque (Hickory Hill Rd)","3721 Hickory Hill Rd","Memphis, TN, 38115"
"42","Du Won Jung","3810 Hacks Cross Road","Memphis, TN, 38125"
"43","Frank Grisanti's","1022 South Shady Grove Road","Memphis, TN, 38120"
"44","Chuck E. Cheese","3649 Hickory Hill Rd","Memphis, TN, 38115"
"45","Marlowe's Ribs & Restaurant","4381 Elvis Presley Boulevard","Memphis, TN, 38116"
